Year,Locality,Suburb,State,Postcode,Employed,Unemployed
2016,Bellangry NSW 2446,Bellangry,NSW,2446,44,3
2016,Bellata NSW 2397,Bellata,NSW,2397,161,9
2016,Bellawongarah NSW 2535,Bellawongarah,NSW,2535,54,0
2016,Bellbird NSW 2325,Bellbird,NSW,2325,806,65
2016,Bellbird Heights NSW 2325,Bellbird Heights,NSW,2325,345,24
2016,Bellbrook NSW 2440,Bellbrook,NSW,2440,73,5
2016,Bellevue Hill NSW 2023,Bellevue Hill,NSW,2023,5463,205
2016,Bellimbopinni NSW 2440,Bellimbopinni,NSW,2440,52,10
2016,Bellingen NSW 2454,Bellingen,NSW,2454,1431,105
2016,Bellmount Forest NSW 2581,Bellmount Forest,NSW,2581,71,0
2016,Belltrees NSW 2337,Belltrees,NSW,2337,13,0
2016,Belmont (NSW) NSW 2280,Belmont,NSW,2280,2855,241
2016,Belmont North NSW 2280,Belmont North,NSW,2280,2785,219
2016,Belmont South NSW 2280,Belmont South,NSW,2280,424,55
2016,Belmore NSW 2192,Belmore,NSW,2192,5222,478
2016,Belmore River NSW 2440,Belmore River,NSW,2440,117,10
2016,Beloka NSW 2628,Beloka,NSW,2628,22,0
2016,Belowra NSW 2545,Belowra,NSW,2545,3,0
2016,Belrose NSW 2085,Belrose,NSW,2085,3922,160
2016,Bemboka NSW 2550,Bemboka,NSW,2550,223,12
2016,Ben Bullen NSW 2790,Ben Bullen,NSW,2790,44,0
2016,Ben Lomond (NSW) NSW 2365,Ben Lomond,NSW,2365,73,0
2016,Benandarah NSW 2536,Benandarah,NSW,2536,44,6
2016,Bendalong NSW 2539,Bendalong,NSW,2539,25,4
2016,Bendemeer NSW 2355,Bendemeer,NSW,2355,223,14
2016,Bendick Murrell NSW 2803,Bendick Murrell,NSW,2803,62,0
2016,Bendolba NSW 2420,Bendolba,NSW,2420,73,5
2016,Bendoura NSW 2622,Bendoura,NSW,2622,31,0
2016,Benerembah NSW 2680,Benerembah,NSW,2680,54,4
2016,Bengalla NSW 2333,Bengalla,NSW,2333,9,3
2016,Bennetts Green NSW 2290,Bennetts Green,NSW,2290,4,0
2016,Benolong NSW 2818,Benolong,NSW,2818,27,0
2016,Bensville NSW 2251,Bensville,NSW,2251,1325,62
2016,Bentley (NSW) NSW 2480,Bentley,NSW,2480,80,3
2016,Berala NSW 2141,Berala,NSW,2141,3778,433
2016,Berambing NSW 2758,Berambing,NSW,2758,49,3
2016,Beresfield NSW 2322,Beresfield,NSW,2322,1256,134
2016,Bergalia NSW 2537,Bergalia,NSW,2537,81,0
2016,Berkeley NSW 2506,Berkeley,NSW,2506,2835,283
2016,Berkeley Vale NSW 2261,Berkeley Vale,NSW,2261,3912,274
2016,Berkshire Park NSW 2765,Berkshire Park,NSW,2765,565,19
2016,Berlang NSW 2622,Berlang,NSW,2622,0,0
2016,Bermagui NSW 2546,Bermagui,NSW,2546,513,31
2016,Berowra NSW 2081,Berowra,NSW,2081,2535,103
2016,Berowra Creek NSW 2082,Berowra Creek,NSW,2082,0,0
2016,Berowra Heights NSW 2082,Berowra Heights,NSW,2082,2770,101
2016,Berowra Waters NSW 2082,Berowra Waters,NSW,2082,24,0
2016,Berrambool NSW 2548,Berrambool,NSW,2548,183,6
2016,Berrara NSW 2540,Berrara,NSW,2540,115,10
2016,Berremangra NSW 2582,Berremangra,NSW,2582,41,0
2016,Berrico NSW 2422,Berrico,NSW,2422,16,0
2016,Berridale NSW 2628,Berridale,NSW,2628,582,14
2016,Berrigal NSW 2390,Berrigal,NSW,2390,18,0
2016,Berrigan NSW 2712,Berrigan,NSW,2712,496,25
2016,Berrilee NSW 2159,Berrilee,NSW,2159,116,4
2016,Berrima NSW 2577,Berrima,NSW,2577,320,8
2016,Berringer Lake NSW 2539,Berringer Lake,NSW,2539,4,0
2016,Berry NSW 2535,Berry,NSW,2535,996,32
2016,Berry Jerry NSW 2701,Berry Jerry,NSW,2701,34,0
2016,Berry Mountain NSW 2535,Berry Mountain,NSW,2535,7,0
2016,Berry Park NSW 2321,Berry Park,NSW,2321,62,3
2016,Berthong NSW 2594,Berthong,NSW,2594,25,0
2016,Beryl NSW 2852,Beryl,NSW,2852,39,11
2016,Bethungra NSW 2590,Bethungra,NSW,2590,79,4
2016,Bevendale NSW 2581,Bevendale,NSW,2581,18,0
2016,Beverley Park NSW 2217,Beverley Park,NSW,2217,1136,65
2016,Beverly Hills NSW 2209,Beverly Hills,NSW,2209,4551,334
2016,Bewong NSW 2540,Bewong,NSW,2540,32,0
2016,Bexhill NSW 2480,Bexhill,NSW,2480,247,9
2016,Bexley NSW 2207,Bexley,NSW,2207,8556,552
2016,Bexley North NSW 2207,Bexley North,NSW,2207,1792,110
2016,Biala NSW 2581,Biala,NSW,2581,41,0
2016,Bibbenluke NSW 2632,Bibbenluke,NSW,2632,40,3
2016,Biddon NSW 2827,Biddon,NSW,2827,47,0
2016,Bidgeemia NSW 2642,Bidgeemia,NSW,2642,22,0
2016,Bidwill (NSW) NSW 2770,Bidwill,NSW,2770,961,252
2016,Bielsdown Hills NSW 2453,Bielsdown Hills,NSW,2453,56,0
2016,Big Hill (NSW) NSW 2579,Big Hill,NSW,2579,25,0
2016,Big Jacks Creek NSW 2339,Big Jacks Creek,NSW,2339,26,0
2016,Big Ridge NSW 2330,Big Ridge,NSW,2330,6,0
2016,Big Springs NSW 2650,Big Springs,NSW,2650,61,8
2016,Bigga NSW 2583,Bigga,NSW,2583,94,3
2016,Bilambil NSW 2486,Bilambil,NSW,2486,182,17
2016,Bilambil Heights NSW 2486,Bilambil Heights,NSW,2486,1510,96
2016,Bilbul NSW 2680,Bilbul,NSW,2680,291,0
2016,Bilgola Beach NSW 2107,Bilgola Beach,NSW,2107,112,6
2016,Bilgola Plateau NSW 2107,Bilgola Plateau,NSW,2107,1799,55
2016,Billeroy NSW 2829,Billeroy,NSW,2829,24,7
2016,Billilingra NSW 2630,Billilingra,NSW,2630,5,0
2016,Billimari NSW 2804,Billimari,NSW,2804,54,5
2016,Billinudgel NSW 2483,Billinudgel,NSW,2483,96,10
2016,Billys Creek NSW 2453,Billys Creek,NSW,2453,22,0
2016,Billywillinga NSW 2795,Billywillinga,NSW,2795,82,5
2016,Bilpin NSW 2758,Bilpin,NSW,2758,324,19
2016,Bimberi NSW 2611,Bimberi,NSW,2611,0,0
2016,Bimbi NSW 2810,Bimbi,NSW,2810,39,0
2016,Bimbimbie NSW 2536,Bimbimbie,NSW,2536,50,6
2016,Binalong NSW 2584,Binalong,NSW,2584,234,4
2016,Binda NSW 2583,Binda,NSW,2583,105,9
2016,Bindera NSW 2422,Bindera,NSW,2422,12,0
2016,Bingara NSW 2404,Bingara,NSW,2404,444,35
2016,Bingeebeebra Creek NSW 2469,Bingeebeebra Creek,NSW,2469,10,0
2016,Bingie NSW 2537,Bingie,NSW,2537,77,3
2016,Bingleburra NSW 2311,Bingleburra,NSW,2311,12,0
2016,Biniguy NSW 2399,Biniguy,NSW,2399,62,0
2016,Binjura NSW 2630,Binjura,NSW,2630,142,9
2016,Binna Burra (NSW) NSW 2479,Binna Burra,NSW,2479,82,5
2016,Binnaway NSW 2395,Binnaway,NSW,2395,155,28
2016,Binya NSW 2665,Binya,NSW,2665,74,3
2016,Birchgrove NSW 2041,Birchgrove,NSW,2041,1735,77
2016,Birdwood (NSW) NSW 2446,Birdwood,NSW,2446,14,5
2016,Birganbigil NSW 2710,Birganbigil,NSW,2710,22,6
2016,Birmingham Gardens NSW 2287,Birmingham Gardens,NSW,2287,878,161
